Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,TickSize,
BSE,977537,1,896AKCFL29,896AKCFL29,F,0.01,
BSE,977536,1,75378KRT29,75378KRT29,F,0.01,
BSE,977535,1,1075SFL28,1075SFL28,F,0.01,
BSE,977534,1,1250ACAPL29,1250ACAPL29,F,0.01,
BSE,977533,1,780NFL36,780NFL36,F,0.01,
BSE,977532,1,0MSAFL28,0MSAFL28,F,0.01,
BSE,977531,1,12CIPL31,12CIPL31,F,0.01,
BSE,977530,1,11UFL27,11UFL27,F,0.01,
BSE,977529,1,970MML28,970MML28,F,0.01,
BSE,977528,1,9OPL29,9OPL29,F,0.01,
BSE,977527,1,880VFL30,880VFL30,F,0.01,
BSE,977526,1,801PFL36,801PFL36,F,0.01,
BSE,977525,1,875DFPL27,875DFPL27,F,0.01,
BSE,977524,1,83VAJRA35,83VAJRA35,F,0.01,
BSE,977523,100000,135IDG4828,135IDG4828,F,0.01,
BSE,977522,100000,1225AXCH27,1225AXCH27,F,0.01,
BSE,977521,1,715HZL29,715HZL29,F,0.01,
BSE,977520,1,715HZL28,715HZL28,F,0.01,
BSE,977519,1,11PKTPL36,11PKTPL36,F,0.01,
BSE,977518,1,11PPL27A,11PPL27A,F,0.01,
BSE,977517,1,1035STLN28,1035STLN28,F,0.01,
BSE,977516,1,11DKGFSP29,11DKGFSP29,F,0.01,
BSE,977515,1,10SCNL28,10SCNL28,F,0.01,
BSE,977514,1,880OPL28,880OPL28,F,0.01,
BSE,977513,1,911SMRTS28,911SMRTS28,F,0.01,
BSE,977512,1,1050GFL28,1050GFL28,F,0.01,
BSE,977511,1,14RFL27,14RFL27,F,0.01,
BSE,977510,1,9CGCL2028,9CGCL2028,F,0.01,
BSE,977509,1,10PPL27,10PPL27,F,0.01,
BSE,977508,1,1135AFSL28,1135AFSL28,F,0.01,
BSE,977507,1,NWFL270126,NWFL270126,F,0.01,
BSE,977506,1,1065MFL28,1065MFL28,F,0.01,
BSE,977505,1,1295LMPL28,1295LMPL28,F,0.01,
BSE,977504,1,0MML2027,0MML2027,F,0.01,
BSE,977502,1,1160KFL28,1160KFL28,F,0.01,
BSE,977501,1,840APL31,840APL31,F,0.01,
BSE,977500,1,830APL30,830APL30,F,0.01,
BSE,977499,1,820APL29,820APL29,F,0.01,
BSE,977498,1,8APL28,8APL28,F,0.01,
BSE,977497,1,765BFL36,765BFL36,F,0.01,
BSE,977496,1,1050ESP28,1050ESP28,F,0.01,
BSE,977495,1,0EFCL29,0EFCL29,F,0.01,
BSE,977494,1,97MML28,97MML28,F,0.01,
BSE,977493,1,960HLFLPRP,960HLFLPRP,F,0.01,
BSE,977492,1,780IOB36,780IOB36,F,0.01,
BSE,977491,1,89OPL29,89OPL29,F,0.01,
BSE,977490,1,990SRFCP29,990SRFCP29,F,0.01,
BSE,977489,1,990SRFCP28,990SRFCP28,F,0.01,
BSE,977488,1,12SCNL31,12SCNL31,F,0.01,
BSE,977487,1,1175IML31,1175IML31,F,0.01,
BSE,977486,1,11IML29,11IML29,F,0.01,
BSE,977485,1,1050IML28,1050IML28,F,0.01,
BSE,977484,1,RRKFL29,RRKFL29,F,0.01,
BSE,977483,1,RRVFSPL33,RRVFSPL33,F,0.01,
BSE,977482,1,725BHFL29,725BHFL29,F,0.01,
BSE,977481,1,892NWIL28,892NWIL28,F,0.01,
BSE,977480,1,RRGHIAL41,RRGHIAL41,F,0.01,
BSE,977479,1,76101KMI29,76101KMI29,F,0.01,
BSE,977478,1,76091KMI29,76091KMI29,F,0.01,
BSE,977477,1,1075NFL28A,1075NFL28A,F,0.01,
BSE,977476,1,7426KMPL29,7426KMPL29,F,0.01,
BSE,977475,1,NWFL19126,NWFL19126,F,0.01,
BSE,977474,1,930KIIFB36,930KIIFB36,F,0.01,
BSE,977473,1,930KIIFB35,930KIIFB35,F,0.01,
BSE,977472,1,930KIIFB34,930KIIFB34,F,0.01,
BSE,977471,1,930KIIFB33,930KIIFB33,F,0.01,
BSE,977470,1,930KIIFB32,930KIIFB32,F,0.01,
BSE,977469,1,930KIIFB31,930KIIFB31,F,0.01,
BSE,977468,1,930KIIFB30,930KIIFB30,F,0.01,
BSE,977467,1,10DCAL29,10DCAL29,F,0.01,
BSE,977466,1,1273IML30,1273IML30,F,0.01,
BSE,977465,1,83710ABCPER,83710ABCPER,F,0.01,
BSE,977464,1,1125EFL31,1125EFL31,F,0.01,
BSE,977463,1,905SCL36,905SCL36,F,0.01,
BSE,977462,1,925MML28,925MML28,F,0.01,
BSE,977461,1,892NWFL28,892NWFL28,F,0.01,
BSE,977460,1,812HLFL31,812HLFL31,F,0.01,
BSE,977459,1,9IFSL27,9IFSL27,F,0.01,
BSE,977458,1,812AFLPER,812AFLPER,F,0.01,
BSE,977456,1,1015SCNL28,1015SCNL28,F,0.01,
BSE,977455,1,745KMPL31,745KMPL31,F,0.01,
BSE,977453,1,11KFL2031,11KFL2031,F,0.01,
BSE,977452,1,1225PFL28,1225PFL28,F,0.01,
BSE,977451,1,1275AFIL31,1275AFIL31,F,0.01,
BSE,977450,1,125AFIL30A,125AFIL30A,F,0.01,
BSE,977449,1,1175AFIL29,1175AFIL29,F,0.01,
BSE,977448,1,12AFIL31,12AFIL31,F,0.01,
BSE,977447,1,RRUMPL30,RRUMPL30,F,0.01,
BSE,977446,1,945KFIL28,945KFIL28,F,0.01,
BSE,977445,1,11DKGFSF28,11DKGFSF28,F,0.01,
BSE,977444,1,RRSGL30,RRSGL30,F,0.01,
BSE,977443,1,1085SFL27,1085SFL27,F,0.01,
BSE,977442,1,FFS060126A,FFS060126A,F,0.01,
BSE,977441,1,1150GFL27,1150GFL27,F,0.01,
BSE,977440,1,13LLDL29,13LLDL29,F,0.01,
BSE,977439,1,1116AFL28,1116AFL28,F,0.01,
BSE,977438,1,1140IRWL27,1140IRWL27,F,0.01,
BSE,977437,1,957LGS1728,957LGS1728,F,0.01,
BSE,977436,1,842LGS1728,842LGS1728,F,0.01,
BSE,977435,1,123ACAP27,123ACAP27,F,0.01,
BSE,977434,1,NWFL311225,NWFL311225,F,0.01,
BSE,977433,1,725AIPPL29,725AIPPL29,F,0.01,
